rsi_oversold,rsi_overbought,fast_period,slow_period,volume_multiplier,min_ema_distance,confidence_threshold,position_size,stop_loss_pct,score,metric,total_profit,win_rate,max_drawdown,sharpe_ratio,sortino_ratio,total_trades,winning_trades,losing_trades,profit_factor,expectancy
30,65,9,21,1.2,0.003,0.6,0.02,0.02,-1.9974590070808043,sharpe_ratio,-863.6340741424383,0.48484848484848486,0.23377415686652708,-1.9974590070808043,-0.5736668224973664,66,32,34,0.8753547033562765,-13.085364759733878
30,65,9,26,1.2,0.003,0.6,0.02,0.02,-1.9930283676422003,sharpe_ratio,-893.6124904781599,0.5178571428571429,0.17317908299644505,-1.9930283676422003,-0.5607577430666628,56,29,27,0.8462366510040069,-15.957365901395676
30,65,12,21,1.2,0.003,0.6,0.02,0.02,5.17610507250669,sharpe_ratio,1615.8731211547681,0.46938775510204084,0.15885215975968672,5.17610507250669,1.8888705285850342,49,23,26,1.3174667208666924,32.97700247254626
30,65,12,26,1.2,0.003,0.6,0.02,0.02,-10.358970588881048,sharpe_ratio,-2029.1007796901413,0.4583333333333333,0.2029100779690145,-10.358970588881048,-2.2275969271995066,48,22,26,0.5686999996739702,-42.27293291021129
30,70,9,21,1.2,0.003,0.6,0.02,0.02,-5.699999335052144,sharpe_ratio,-1684.6535081190113,0.4852941176470588,0.28272802218095566,-5.699999335052144,-1.4857661375517484,68,33,35,0.7498498965127237,-24.77431629586782
30,70,9,26,1.2,0.003,0.6,0.02,0.02,-6.5103495927309325,sharpe_ratio,-1614.1244574928376,0.5245901639344263,0.23528643118009743,-6.5103495927309325,-1.3626214882792909,61,32,29,0.7143963935627352,-26.46105668021046
30,70,12,21,1.2,0.003,0.6,0.02,0.02,-0.7542117792909149,sharpe_ratio,-295.66391014975517,0.4909090909090909,0.22470803468902867,-0.7542117792909149,-0.18051063135813128,55,27,28,0.9373573803855332,-5.375707457268277
30,70,12,26,1.2,0.003,0.6,0.02,0.02,-1.5444055024468735,sharpe_ratio,-561.2854731460087,0.5094339622641509,0.16108608119626122,-1.5444055024468735,-0.4452662707661249,53,27,26,0.8914360471632068,-10.590291946151126
35,65,9,21,1.2,0.003,0.6,0.02,0.02,-4.714225060786321,sharpe_ratio,-1540.2242758546067,0.48333333333333334,0.22846788137250681,-4.714225060786321,-1.1662077141284792,60,29,31,0.7609676291986527,-25.67040459757679
35,65,9,26,1.2,0.003,0.6,0.02,0.02,-1.3854397216694152,sharpe_ratio,-647.7225627734108,0.5306122448979592,0.19954872821901617,-1.3854397216694152,-0.3621636342884657,49,26,23,0.8660839655862269,-13.218827811702255
35,65,12,21,1.2,0.003,0.6,0.02,0.02,7.571651130020614,sharpe_ratio,2557.1621225232543,0.5,0.1343531569580388,7.571651130020614,2.8081668866031095,44,22,22,1.6127754628426685,58.11732096643762
35,65,12,26,1.2,0.003,0.6,0.02,0.02,-7.906551538040997,sharpe_ratio,-1273.5242015553856,0.46511627906976744,0.15214875058843227,-7.906551538040997,-1.9068634178734503,43,20,23,0.6381354961697125,-29.616841896636892
35,70,9,21,1.2,0.003,0.6,0.02,0.02,-9.034452454049589,sharpe_ratio,-2300.443419108185,0.4838709677419355,0.2732258786258243,-9.034452454049589,-2.004155279595463,62,30,32,0.6319301987673072,-37.10392611464813
35,70,9,26,1.2,0.003,0.6,0.02,0.02,-6.329001948707094,sharpe_ratio,-1387.689734752122,0.5370370370370371,0.2230077727183672,-6.329001948707094,-1.163749993180929,54,29,25,0.7036265818204683,-25.697958050965205
35,70,12,21,1.2,0.003,0.6,0.02,0.02,2.8324902659397035,sharpe_ratio,490.72422715896306,0.52,0.1788665496933008,2.8324902659397035,0.6657934231935363,50,26,24,1.1273806630903214,9.814484543179276
35,70,12,26,1.2,0.003,0.6,0.02,0.02,2.022548897743449,sharpe_ratio,333.42808765521767,0.5208333333333334,0.1029968901525822,2.022548897743449,0.8186456307065911,48,25,23,1.0882953949698406,6.946418492817045
